Število spletnih nakupov, ki so jih opravili posamezniki v zadnjih 12 mesecih, po vrsti izdelka ali storitve, po starostnih razredih in spolu, Slovenija, letno;;;;;;;
;;;;;;;
LETO;E-NAKUPI  PO VRSTI IZDELKA ALI STORITVE;16–24;25–34;35–44;45–54;55–64;65–74
2012;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);22064;34257;12918;12357;11611;720
2012;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);23235;57618;45966;29445;14096;4562
2012;..Zdravila, prehranska dopolnila;2605;2558;12733;5892;2991;-
2012;..Oblaèila, športno opremo, èevlje;68601;78373;54408;26388;8505;3069
2012;..Raèunalniško strojno opremo;26188;29254;28537;16228;6108;1570
2012;..Elektronsko opremo (vkljuèno s kamerami);25262;21437;25279;13519;2357;1499
2012;..Telekomunikacijske storitve (npr. naroènine, predplaèniške kartice);5361;11090;18311;8867;1224;1406
2012;..Delnice, finanène storitve, zavarovanje;1779;11352;8538;2891;1887;1336
2012;..Turistiène nastanitvene zmogljivosti;34020;62735;51155;34202;10131;5025
2012;..Potovanja, poèitniško namestitev;-;-;-;-;-;-
2012;..Druge storitve v zvezi z organizacijo potovanj (npr. nakup letalske karte, najem avtomobila);20337;32922;22530;19148;5501;2196
2012;..Vstopnice za prireditve;30871;58348;30189;20674;3201;4738
2012;..Filme, glasbo;11459;20296;11295;5505;1721;1336
2012;..Knjige, revije, èasopise;24144;44575;32221;19267;6843;2686
2012;..Elektronsko uèno gradivo;4900;7870;7751;7326;2588;620
2012;..Knjige, revije, èasopisi, elektronsko uèno gradivo;-;-;-;-;-;-
2012;..Raèunalniške oz. videoigre, raèunalniška programska oprema, programska nadgradnja;-;-;-;-;-;-
2012;..Raèunalniško programsko opremo (vkljuèno z video igricami);-;-;-;-;-;-
2012;..Raèunalniške oz. videoigre in posodobitve;21666;17937;12202;4621;1160;-
2012;..Drugo raèunalniško programsko opremo in posodobitve;21196;30367;20396;10148;3695;2521
2012;..Loterija, stave;-;-;-;-;-;-
2012;..Oddaja stav ali iger na sreèo;-;-;-;-;-;-
